SUD,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
18 to 25,21.7,21,21.2,21.8,21.4,20.7,21,20.1,20,18.6,18.9,17.3,16.3
26 or older,7.3,7,7.3,7.1,7.2,7.2,7.1,7.3,7,6.3,7,7,7.1
